"bdgt_id","dma1_name","chan1_name","client_id","chan1_id","dma1_id","sp_min_h","percent_max","sp_max_h"
"243_146","National","Network TV",52,243,146,NULL,NULL,NULL
"244_146","National","Display",52,244,146,NULL,NULL,NULL
"247_146","National","Local Radio",52,247,146,NULL,NULL,NULL
"276_146","National","Network Radio",52,276,146,NULL,NULL,NULL
"289_146","National","Social",52,289,146,NULL,NULL,NULL
"410_146","National","Email",52,410,146,NULL,NULL,NULL
"445_146","National","SMS",52,445,146,NULL,NULL,NULL
"451_146","National","Cable TV",52,451,146,NULL,NULL,NULL
"452_146","National","Hispanic TV",52,452,146,NULL,NULL,NULL
"453_146","National","Hispanic Radio",52,453,146,NULL,NULL,NULL
"454_146","National","National Print",52,454,146,NULL,NULL,NULL
"455_146","National","Cinema",52,455,146,NULL,NULL,NULL
"456_146","National","Local Print",52,456,146,NULL,NULL,NULL
"457_146","National","Dirent Mail",52,457,146,NULL,NULL,NULL
"458_146","National","Hispanic Display",52,458,146,NULL,NULL,NULL
"459_146","National","Search - Branded",52,459,146,NULL,NULL,NULL
"460_146","National","Search - non Branded",52,460,146,NULL,NULL,NULL
"461_146","National","Video",52,461,146,NULL,NULL,NULL
"6_146","National","OOH",52,6,146,NULL,NULL,NULL
